,id,epoch_second,problem_id,contest_id,user_id,language,point,length,result,execution_time
0,13535908,1590232397,practice_1,abs,Balut,Python (3.4.3),100.0,96,AC,17.0
1,13536708,1590234224,abc086_a,abs,Balut,Python (3.4.3),0.0,93,RE,17.0
2,13536743,1590234267,abc086_a,abs,Balut,Python (3.4.3),100.0,89,AC,17.0
3,13544283,1590243015,abc081_a,abs,Balut,Python (3.4.3),100.0,92,AC,17.0
4,13546657,1590244704,abc081_b,abs,Balut,Python (3.4.3),200.0,288,AC,19.0
5,13547206,1590245461,abc087_b,abs,Balut,Python (3.4.3),200.0,318,AC,45.0
6,13547595,1590246084,abc083_b,abs,Balut,Python (3.4.3),200.0,249,AC,32.0
7,13548153,1590247057,abc088_b,abs,Balut,Python (3.4.3),200.0,266,AC,18.0
8,13548436,1590247623,abc085_b,abs,Balut,Python (3.4.3),200.0,110,AC,17.0
9,13549575,1590250384,abc085_c,abs,Balut,Python (3.4.3),0.0,511,WA,2104.0
10,13549758,1590250899,abc085_c,abs,Balut,Python (3.4.3),300.0,433,AC,524.0
11,13559567,1590295899,abc081_a,abc081,Balut,Python3 (3.4.3),100.0,92,AC,17.0
12,13560015,1590296626,abc139_b,abc139,Balut,PyPy3 (2.4.0),200.0,241,AC,163.0
13,13562752,1590300923,abc156_c,abc156,Balut,PyPy3 (2.4.0),300.0,224,AC,170.0
14,13563999,1590302863,codefestival_2016_qualB_b,code-festival-2016-qualb,Balut,PyPy3 (2.4.0),200.0,509,AC,298.0
15,13564497,1590303643,codefestival_2016_qualB_b,code-festival-2016-qualb,Balut,PyPy3 (2.4.0),200.0,596,AC,184.0
16,13565339,1590304942,sumitb2019_b,sumitrust2019,Balut,PyPy3 (2.4.0),0.0,216,RE,171.0
17,13565505,1590305194,sumitb2019_b,sumitrust2019,Balut,PyPy3 (2.4.0),200.0,344,AC,181.0
18,13567251,1590307790,abc121_b,abc121,Balut,PyPy3 (2.4.0),200.0,371,AC,184.0
19,13567680,1590308477,panasonic2020_b,panasonic2020,Balut,PyPy3 (2.4.0),0.0,105,WA,163.0
20,13567812,1590308701,panasonic2020_b,panasonic2020,Balut,PyPy3 (2.4.0),0.0,109,WA,173.0
21,13567889,1590308834,panasonic2020_b,panasonic2020,Balut,PyPy3 (2.4.0),0.0,166,WA,164.0
22,13572235,1590317340,panasonic2020_b,panasonic2020,Balut,PyPy3 (2.4.0),200.0,170,AC,173.0
23,13572643,1590318418,abc157_b,abc157,Balut,PyPy3 (2.4.0),200.0,941,AC,182.0
24,13572951,1590319187,abc157_b,abc157,Balut,PyPy3 (2.4.0),0.0,763,WA,175.0
25,13573038,1590319419,abc157_b,abc157,Balut,PyPy3 (2.4.0),200.0,952,AC,178.0
26,13573266,1590320032,abc086_b,abc086,Balut,PyPy3 (2.4.0),0.0,187,WA,180.0
27,13573336,1590320181,abc086_b,abc086,Balut,PyPy3 (2.4.0),200.0,186,AC,175.0
28,13573377,1590320290,abc086_b,abc086,Balut,PyPy3 (2.4.0),200.0,169,AC,164.0
29,13573702,1590321003,abc074_b,abc074,Balut,PyPy3 (2.4.0),200.0,279,AC,176.0
30,13573771,1590321172,abc074_b,abc074,Balut,PyPy3 (2.4.0),200.0,271,AC,169.0
31,13578120,1590328492,abc088_b,abc088,Balut,PyPy3 (2.4.0),200.0,254,AC,184.0
32,13578539,1590329276,abc068_b,abc068,Balut,PyPy3 (2.4.0),200.0,218,AC,173.0
33,13578729,1590329674,abc068_b,abc068,Balut,PyPy3 (2.4.0),200.0,160,AC,174.0
34,13579328,1590331029,abc160_c,abc160,Balut,PyPy3 (2.4.0),300.0,259,AC,250.0
35,13595748,1590405090,agc014_a,agc014,Balut,PyPy3 (2.4.0),300.0,402,AC,177.0
36,13616902,1590485347,abc161_c,abc161,Balut,Python (3.8.2),300.0,148,AC,22.0
37,13618703,1590490731,abc168_c,abc168,Balut,Python (3.8.2),300.0,331,AC,24.0
38,13670601,1590677229,agc027_a,agc027,Balut,Python3 (3.4.3),200.0,361,AC,17.0
